1,,,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,
,,H,H,H,H,H,,H,H,H,H,H,H,H,,H,H,H,H,H,H,,,
,,H,,,,,,,,,,,,,,,,,,,H,,,
,,H,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,H,,,
,,H,,H,,,,,,,,,,,,,,,H,,H,,,
,,H,,H,,H,H,H,H,H,H,H,H,H,H,H,,H,,H,,,,
,,H,,H,,,,,,,,,,,,,H,,H,,,,,
,,H,,H,,H,H,H,H,H,H,H,,,H,,H,,H,,,,,
,,H,,H,,H,,,,,,,,H,,H,,H,,,,,,
,,H,,H,,H,,H,H,H,H,H,,H,,H,,H,,,,,,
,,H,,H,,,,H,,,,,,H,,H,,H,,,,,,
,,H,,H,,H,H,H,H,,H,H,H,H,H,H,H,,H,,,,,
,,H,,H,,,,,,H,,,,,,,,,H,,,,,
,,H,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,H,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,,3
