H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,1,-1,S,S,S,S,S,S,S,S,S,-1,S,S,S,-1,S,S,S,S,S,S,S,S,S,-1,2,H
H,-1,H,H,H,S,H,S,H,S,H,S,H,-1,#NAME?,-1,H,S,H,S,H,S,H,H,H,H,H,-1,H
H,S,H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,S,H
H,S,H,S,H,S,H,S,H,S,H,S,H,S,S,S,H,S,H,S,H,S,H,S,H,S,H,S,H
H,S,S,S,S,S,S,S,S,S,S,S,H,S,S,S,H,S,S,S,S,S,H,S,S,S,S,S,H
H,S,H,S,H,H,H,S,H,S,H,H,H,S,S,H,H,H,H,H,H,S,H,S,H,S,H,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,H,S,H,S,H,S,H,S,H,S,H,S,S,S,H,S,H,S,H,S,H,S,H,S,H,S,H
H,S,H,S,S,S,S,S,S,S,S,S,S,H,H,H,H,S,S,S,S,S,H,S,H,S,S,S,H
H,-1,H,S,H,H,H,S,H,S,H,S,H,-1,-1,-1,H,S,H,S,H,H,H,H,H,S,H,-1,H
H,S,-1,S,S,S,S,S,H,S,S,S,-1,S,H,S,-1,S,S,H,S,S,S,S,S,S,-1,S,H
H,-1,H,S,H,H,H,S,H,S,H,S,H,-1,-1,-1,H,S,H,S,H,S,H,S,H,S,H,-1,H
H,S,S,S,S,S,S,S,S,S,S,S,H,S,-1,S,S,S,S,H,S,S,S,S,S,S,S,S,H
H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H
H,S,S,S,S,S,S,S,S,S,S,S,H,S,H,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,H,S,H,S,H,S,H,S,H,S,H,S,-1,S,H,S,H,S,H,S,H,S,H,S,H,S,H
H,S,S,S,S,S,S,S,H,S,S,S,S,S,H,S,S,S,S,S,H,S,S,S,S,S,S,S,H
H,S,H,H,H,S,H,S,H,H,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H,S,H
H,S,S,S,S,S,H,S,S,S,S,S,S,H,S,S,S,S,H,S,S,S,S,H,S,S,S,S,H
H,-1,H,S,H,S,H,S,H,S,H,S,H,-1,-1,-1,H,S,H,S,H,S,H,S,H,S,H,-1,H
H,S,-1,S,H,S,S,S,H,S,S,S,-1,S,H,S,-1,H,S,S,S,S,S,H,S,S,-1,S,H
H,-1,H,H,H,S,H,S,H,S,H,S,H,-1,-1,-1,H,S,H,S,H,S,H,S,H,S,H,-1,H
H,3,-1,S,S,S,S,S,S,S,S,S,-1,S,H,S,-1,S,S,S,S,S,S,S,S,S,-1,4,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
