H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,1,,PT,PK,PK,PU,H,PM,PT,S,H,PU,PK,PU,S,PU,H,PB,PU,PB,PM,PB,S,S,PS,,2,H
H,,PB,PT,H,PS,H,S,S,H,PB,PB,PT,PM,H,PS,PK,S,PT,S,PP,PP,PM,S,S,H,PM,,H
H,PK,H,PK,PU,PU,PK,PP,PP,S,PM,PU,PP,PU,PB,PM,H,PB,PB,PP,PP,PM,H,PU,PM,PM,PM,PT,H
H,PP,PB,PP,S,PM,PT,PP,PT,PS,PM,PP,PS,PB,PB,PP,PB,S,PK,PS,PM,PM,PM,PS,PK,PP,S,PB,H
H,S,PP,PB,PS,PT,PS,PK,PS,H,PU,PM,PK,PK,PT,PM,S,PK,PU,PP,PT,PU,PK,PK,PM,H,H,H,H
H,PB,PU,PU,S,PU,S,PP,PP,PM,PM,PP,PM,PU,PP,PK,PK,PS,S,PS,PM,PT,PT,PU,PB,PS,S,PK,H
H,S,PT,PK,S,PK,PU,S,PT,H,PS,S,PT,PS,PS,S,PU,PS,PU,H,H,PT,H,PU,S,PU,PS,PP,H
H,PT,PB,PB,H,S,H,PM,PT,PS,PT,PK,PM,PM,S,PP,PS,PU,PU,PU,PP,H,PB,PB,PU,S,PB,S,H
H,PB,PT,S,PP,PS,PP,S,PP,PP,H,PM,PK,PB,PB,PS,PK,PB,S,PS,S,PB,H,PS,S,PP,PP,S,H
H,PU,PP,PM,PK,PM,PK,PT,PS,PB,PB,PT,S,PU,S,PT,PK,PK,H,H,PB,PS,PB,S,PP,PK,PK,PS,H
H,PM,PK,S,PU,PP,PT,H,PB,PS,H,PS,PB,PB,S,S,PK,PS,PP,PM,PP,PM,PB,PU,PU,PU,S,H,H
H,PP,H,PM,PP,PS,PB,PK,H,S,PU,PK,PS,PM,PK,H,S,PM,PP,PP,PK,PU,PK,PK,S,PP,PP,PS,H
H,PT,PU,PM,S,S,PU,H,S,PU,PP,H,PK,PM,H,PP,S,PU,PU,PS,PS,PU,PP,H,H,PM,PP,PB,H
H,PM,H,S,PP,PM,PP,PM,PU,PP,PT,S,H,H,PB,PB,PM,H,PB,PB,PS,PS,PU,H,PM,S,H,PS,H
H,PK,PS,PS,S,PB,PS,PP,PS,PM,PK,PM,S,PT,PM,PB,PK,S,PK,PK,S,PB,PS,PT,PU,PP,PK,PS,H
H,PB,PT,PP,PB,S,PU,PM,PU,S,PK,PK,S,PS,S,H,H,PS,PT,PP,PB,PB,PB,PS,PB,PS,PT,H,H
H,PT,PM,PB,PB,PP,S,PM,PK,S,S,PK,PT,PU,PU,PU,S,PK,S,PU,PK,PP,PK,S,PK,PK,PU,S,H
H,PB,PB,PT,PS,PK,PU,PM,PP,PU,PM,PK,PM,PP,PT,PS,PT,PT,PB,PU,S,PU,S,PS,PP,S,S,PM,H
H,S,PU,PU,PK,PM,H,PM,PM,PM,PS,PT,H,PK,PU,PB,PB,PK,PU,PS,PP,PB,PM,PS,H,PP,H,PT,H
H,PB,PP,PS,PK,PB,S,S,H,PT,PP,H,PP,PT,PT,PS,H,H,H,PS,PP,PT,PT,PM,PM,PS,PK,PB,H
H,PS,PP,PM,H,PU,PB,PS,PB,PU,H,PP,PM,H,S,H,S,PT,PM,PT,S,PM,H,PT,PK,PM,PS,PT,H
H,,PU,PT,PM,H,PM,PB,PM,PT,PS,PB,S,PP,PK,PM,PM,PB,S,PP,S,PU,PU,S,H,PP,PK,,H
H,3,,PB,H,H,PK,H,PS,PB,PK,PT,PS,H,PT,PM,H,PB,H,PT,PM,H,PU,PP,PP,S,,4,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
